filename,date,box,experiment,day,context,no_shock,animal_id,fear
20241121_Box_2_CFD_Day_6_(Context_B)_9004.mp4,20241121,2,CFD,6,B,no,9004,
20241121_Box_2_CFD_Day_6_(Context_B)_9006.mp4,20241121,2,CFD,6,B,no,9006,
20241121_Box_2_CFD_Day_6_(Context_B)_9008.mp4,20241121,2,CFD,6,B,no,9008,
20241121_Box_2_CFD_Day_6_(Context_B)_9010.mp4,20241121,2,CFD,6,B,no,9010,
20241121_Box_2_CFD_Day_6_(Context_B)_9012.mp4,20241121,2,CFD,6,B,no,9012,
20241121_Box_2_CFD_Day_6_(Context_B)_9014.mp4,20241121,2,CFD,6,B,no,9014,
20241121_Box_2_CFD_Day_6_(Context_B)_9016.mp4,20241121,2,CFD,6,B,no,9016,
20241122_Box_1_CFD_Day_7_(Context_A)_9001.mp4,20241122,1,CFD,7,A,no,9001,
20241122_Box_1_CFD_Day_7_(Context_A)_9003.mp4,20241122,1,CFD,7,A,no,9003,
20241122_Box_1_CFD_Day_7_(Context_A)_9005.mp4,20241122,1,CFD,7,A,no,9005,
20241122_Box_1_CFD_Day_7_(Context_A)_9007.mp4,20241122,1,CFD,7,A,no,9007,
20241122_Box_1_CFD_Day_7_(Context_A)_9009.mp4,20241122,1,CFD,7,A,no,9009,
20241122_Box_1_CFD_Day_7_(Context_A)_9011.mp4,20241122,1,CFD,7,A,no,9011,
20241122_Box_1_CFD_Day_7_(Context_A)_9013.mp4,20241122,1,CFD,7,A,no,9013,
20241122_Box_1_CFD_Day_7_(Context_A)_9015.mp4,20241122,1,CFD,7,A,no,9015,
20241122_Box_1_CFD_Day_7_(Context_B)_9002.mp4,20241122,1,CFD,7,B,no,9002,
20241122_Box_1_CFD_Day_7_(Context_B)_9003.mp4,20241122,1,CFD,7,B,no,9003,
20241122_Box_1_CFD_Day_7_(Context_B)_9005.mp4,20241122,1,CFD,7,B,no,9005,
20241122_Box_1_CFD_Day_7_(Context_B)_9007.mp4,20241122,1,CFD,7,B,no,9007,
20241122_Box_1_CFD_Day_7_(Context_B)_9009.mp4,20241122,1,CFD,7,B,no,9009,
20241122_Box_1_CFD_Day_7_(Context_B)_9011.mp4,20241122,1,CFD,7,B,no,9011,
20241122_Box_1_CFD_Day_7_(Context_B)_9013.mp4,20241122,1,CFD,7,B,no,9013,
20241122_Box_1_CFD_Day_7_(Context_B)_9015.mp4,20241122,1,CFD,7,B,no,9015,
20241122_Box_2_CFD_Day_7_(Context_A)_9002.mp4,20241122,2,CFD,7,A,no,9002,
20241122_Box_2_CFD_Day_7_(Context_A)_9004.mp4,20241122,2,CFD,7,A,no,9004,
20241122_Box_2_CFD_Day_7_(Context_A)_9006.mp4,20241122,2,CFD,7,A,no,9006,
20241122_Box_2_CFD_Day_7_(Context_A)_9008.mp4,20241122,2,CFD,7,A,no,9008,
20241122_Box_2_CFD_Day_7_(Context_A)_9010.mp4,20241122,2,CFD,7,A,no,9010,
20241122_Box_2_CFD_Day_7_(Context_A)_9012.mp4,20241122,2,CFD,7,A,no,9012,
20241122_Box_2_CFD_Day_7_(Context_A)_9014.mp4,20241122,2,CFD,7,A,no,9014,
20241122_Box_2_CFD_Day_7_(Context_A)_9016.mp4,20241122,2,CFD,7,A,no,9016,
20241122_Box_2_CFD_Day_7_(Context_B)_9001.mp4,20241122,2,CFD,7,B,no,9001,
20241122_Box_2_CFD_Day_7_(Context_B)_9004.mp4,20241122,2,CFD,7,B,no,9004,
20241122_Box_2_CFD_Day_7_(Context_B)_9006.mp4,20241122,2,CFD,7,B,no,9006,
20241122_Box_2_CFD_Day_7_(Context_B)_9008.mp4,20241122,2,CFD,7,B,no,9008,
20241122_Box_2_CFD_Day_7_(Context_B)_9010.mp4,20241122,2,CFD,7,B,no,9010,
20241122_Box_2_CFD_Day_7_(Context_B)_9012.mp4,20241122,2,CFD,7,B,no,9012,
20241122_Box_2_CFD_Day_7_(Context_B)_9014.mp4,20241122,2,CFD,7,B,no,9014,
20241122_Box_2_CFD_Day_7_(Context_B)_9016.mp4,20241122,2,CFD,7,B,no,9016,
20250205_Box_3_CFC_Day_0_(Context_A)_543.mp4,20250205,3,CFC,0,A,no,543,
"20250206_Box_1_CFC_Day_1_(Context_A,_No_Shock)_526.mp4",20250206,1,CFC,1,A,yes,526,
"20250206_Box_3_CFC_Day_1_(Context_A,_No_Shock)_528.mp4",20250206,3,CFC,1,A,yes,528,
"20250206_Box_3_CFC_Day_1_(Context_A,_No_Shock)_543.mp4",20250206,3,CFC,1,A,yes,543,
20250207_Box_1_CFC_Day_2_(Context_C)_526.mp4,20250207,1,CFC,2,C,no,526,
20250207_Box_1_CFC_Day_2_(Context_C)_541.mp4,20250207,1,CFC,2,C,no,541,
20250207_Box_2_CFC_Day_2_(Context_C)_527.mp4,20250207,2,CFC,2,C,no,527,
20250207_Box_2_CFC_Day_2_(Context_C)_542.mp4,20250207,2,CFC,2,C,no,542,
20250207_Box_3_CFC_Day_2_(Context_C)_528.mp4,20250207,3,CFC,2,C,no,528,
20250207_Box_3_CFC_Day_2_(Context_C)_543.mp4,20250207,3,CFC,2,C,no,543,
20250210_Box_1_CFD_Day_3_(Context_A)_526.mp4,20250210,1,CFD,3,A,no,526,
20250210_Box_1_CFD_Day_3_(Context_A)_541.mp4,20250210,1,CFD,3,A,no,541,
20250210_Box_1_CFD_Day_3_(Context_B)_526.mp4,20250210,1,CFD,3,B,no,526,
20250210_Box_1_CFD_Day_3_(Context_B)_541.mp4,20250210,1,CFD,3,B,no,541,
20250210_Box_2_CFD_Day_3_(Context_A)_527.mp4,20250210,2,CFD,3,A,no,527,
20250210_Box_2_CFD_Day_3_(Context_A)_542.mp4,20250210,2,CFD,3,A,no,542,
20250210_Box_2_CFD_Day_3_(Context_B)_527.mp4,20250210,2,CFD,3,B,no,527,
20250210_Box_2_CFD_Day_3_(Context_B)_542.mp4,20250210,2,CFD,3,B,no,542,
20250210_Box_3_CFD_Day_3_(Context_A)_528.mp4,20250210,3,CFD,3,A,no,528,
20250210_Box_3_CFD_Day_3_(Context_A)_543.mp4,20250210,3,CFD,3,A,no,543,
20250210_Box_3_CFD_Day_3_(Context_B)_528.mp4,20250210,3,CFD,3,B,no,528,
20250210_Box_3_CFD_Day_3_(Context_B)_543.mp4,20250210,3,CFD,3,B,no,543,
20250211_Box_1_CFD_Day_4_(Context_A)_526.mp4,20250211,1,CFD,4,A,no,526,
20250211_Box_1_CFD_Day_4_(Context_A)_541.mp4,20250211,1,CFD,4,A,no,541,
20250211_Box_1_CFD_Day_4_(Context_B)_541.mp4,20250211,1,CFD,4,B,no,541,
20250211_Box_2_CFD_Day_4_(Context_A)_542.mp4,20250211,2,CFD,4,A,no,542,
