stem,start_frame,end_frame,duration_sec,context,mean_distance
20241115_Box_2_CFC_Day_2_(Context_C)_9006,263,298,1.2,C,24.726
20241115_Box_2_CFC_Day_2_(Context_C)_9006,300,340,1.37,C,25.566
20241115_Box_2_CFC_Day_2_(Context_C)_9006,342,371,1.0,C,24.122
20241115_Box_2_CFC_Day_2_(Context_C)_9006,392,398,0.23,C,23.551
20241115_Box_2_CFC_Day_2_(Context_C)_9006,417,430,0.47,C,23.392
20241115_Box_2_CFC_Day_2_(Context_C)_9006,434,439,0.2,C,23.154
20241115_Box_2_CFC_Day_2_(Context_C)_9006,500,514,0.5,C,23.868
20241115_Box_2_CFC_Day_2_(Context_C)_9006,961,1030,2.33,C,24.39
20241115_Box_2_CFC_Day_2_(Context_C)_9006,1723,1731,0.3,C,23.687
20241115_Box_2_CFC_Day_2_(Context_C)_9006,1879,1885,0.23,C,24.906
20241115_Box_2_CFC_Day_2_(Context_C)_9006,1887,1896,0.33,C,23.492
20241115_Box_2_CFC_Day_2_(Context_C)_9006,1957,1964,0.27,C,23.757
20241115_Box_2_CFC_Day_2_(Context_C)_9006,2282,2287,0.2,C,23.672
20241115_Box_2_CFC_Day_2_(Context_C)_9006,2331,2337,0.23,C,24.033
20241115_Box_2_CFC_Day_2_(Context_C)_9006,2340,2345,0.2,C,23.598
20241115_Box_2_CFC_Day_2_(Context_C)_9006,2407,2460,1.8,C,24.883
20241115_Box_2_CFC_Day_2_(Context_C)_9006,2540,2552,0.43,C,24.087
20241115_Box_2_CFC_Day_2_(Context_C)_9006,2559,2567,0.3,C,23.302
20241115_Box_2_CFC_Day_2_(Context_C)_9006,2910,2915,0.2,C,23.902
20241115_Box_2_CFC_Day_2_(Context_C)_9006,3292,3302,0.37,C,23.348
20241115_Box_2_CFC_Day_2_(Context_C)_9006,3313,3321,0.3,C,24.826
20241115_Box_2_CFC_Day_2_(Context_C)_9006,3357,3362,0.2,C,25.084
20241115_Box_2_CFC_Day_2_(Context_C)_9006,3686,3702,0.57,C,24.073
20241115_Box_2_CFC_Day_2_(Context_C)_9006,4021,4039,0.63,C,24.395
20241115_Box_2_CFC_Day_2_(Context_C)_9006,4132,4137,0.2,C,22.746
20241115_Box_2_CFC_Day_2_(Context_C)_9006,4152,4163,0.4,C,24.09
20241115_Box_2_CFC_Day_2_(Context_C)_9006,4327,4336,0.33,C,23.616
20241115_Box_2_CFC_Day_2_(Context_C)_9006,4370,4378,0.3,C,24.403
20241115_Box_2_CFC_Day_2_(Context_C)_9006,4381,4386,0.2,C,23.319
20241115_Box_2_CFC_Day_2_(Context_C)_9006,4400,4421,0.73,C,24.518
20241115_Box_2_CFC_Day_2_(Context_C)_9006,4423,4532,3.67,C,26.308
20241115_Box_2_CFC_Day_2_(Context_C)_9006,4535,4544,0.33,C,23.433
20241115_Box_2_CFC_Day_2_(Context_C)_9006,4561,4587,0.9,C,24.444
20241115_Box_2_CFC_Day_2_(Context_C)_9006,4589,4596,0.27,C,24.46
20241115_Box_2_CFC_Day_2_(Context_C)_9006,5144,5163,0.67,C,25.138
20241115_Box_2_CFC_Day_2_(Context_C)_9010,12,17,0.2,C,23.68
20241115_Box_2_CFC_Day_2_(Context_C)_9010,163,173,0.37,C,23.403
20241115_Box_2_CFC_Day_2_(Context_C)_9010,202,209,0.27,C,23.762
20241115_Box_2_CFC_Day_2_(Context_C)_9010,356,367,0.4,C,23.936
20241115_Box_2_CFC_Day_2_(Context_C)_9010,545,553,0.3,C,23.652
20241115_Box_2_CFC_Day_2_(Context_C)_9010,619,631,0.43,C,24.277
20241115_Box_2_CFC_Day_2_(Context_C)_9010,641,646,0.2,C,23.131
20241115_Box_2_CFC_Day_2_(Context_C)_9010,724,736,0.43,C,23.754
20241115_Box_2_CFC_Day_2_(Context_C)_9010,779,785,0.23,C,23.588
20241115_Box_2_CFC_Day_2_(Context_C)_9010,802,809,0.27,C,24.341
20241115_Box_2_CFC_Day_2_(Context_C)_9010,812,819,0.27,C,23.379
20241115_Box_2_CFC_Day_2_(Context_C)_9010,997,1002,0.2,C,23.776
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1020,1029,0.33,C,23.584
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1053,1073,0.7,C,23.612
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1075,1094,0.67,C,24.826
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1207,1220,0.47,C,23.771
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1239,1255,0.57,C,25.237
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1258,1263,0.2,C,23.111
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1412,1421,0.33,C,24.648
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1435,1440,0.2,C,23.979
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1445,1452,0.27,C,24.816
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1456,1491,1.2,C,24.996
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1505,1518,0.47,C,24.267
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1573,1610,1.27,C,25.062
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1641,1646,0.2,C,23.678
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1709,1716,0.27,C,24.677
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1718,1725,0.27,C,23.429
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1799,1807,0.3,C,24.445
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1927,1955,0.97,C,25.722
20241115_Box_2_CFC_Day_2_(Context_C)_9010,1966,1975,0.33,C,24.877
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2018,2036,0.63,C,23.762
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2089,2097,0.3,C,23.61
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2147,2164,0.6,C,23.7
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2166,2174,0.3,C,24.005
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2183,2194,0.4,C,24.621
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2198,2219,0.73,C,24.992
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2407,2422,0.53,C,23.529
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2433,2438,0.2,C,24.315
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2440,2450,0.37,C,23.197
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2452,2462,0.37,C,24.179
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2507,2515,0.3,C,23.901
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2903,2913,0.37,C,23.804
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2917,2926,0.33,C,23.922
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2929,2937,0.3,C,23.377
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2946,2951,0.2,C,24.094
20241115_Box_2_CFC_Day_2_(Context_C)_9010,2986,2993,0.27,C,24.176
20241115_Box_2_CFC_Day_2_(Context_C)_9010,3041,3049,0.3,C,23.464
20241115_Box_2_CFC_Day_2_(Context_C)_9010,3054,3098,1.5,C,24.706
20241115_Box_2_CFC_Day_2_(Context_C)_9010,3105,3110,0.2,C,23.912
20241115_Box_2_CFC_Day_2_(Context_C)_9010,3120,3128,0.3,C,23.586
20241115_Box_2_CFC_Day_2_(Context_C)_9010,3130,3145,0.53,C,23.455
20241115_Box_2_CFC_Day_2_(Context_C)_9010,3147,3163,0.57,C,24.159
20241115_Box_2_CFC_Day_2_(Context_C)_9010,3234,3242,0.3,C,23.277
20241115_Box_2_CFC_Day_2_(Context_C)_9010,3382,3391,0.33,C,24.62
20241115_Box_2_CFC_Day_2_(Context_C)_9010,3539,3550,0.4,C,23.712
20241115_Box_2_CFC_Day_2_(Context_C)_9010,3564,3577,0.47,C,23.869
20241115_Box_2_CFC_Day_2_(Context_C)_9010,3696,3708,0.43,C,24.941
20241115_Box_2_CFC_Day_2_(Context_C)_9010,3731,3743,0.43,C,23.681
20241115_Box_2_CFC_Day_2_(Context_C)_9010,3788,3821,1.13,C,24.273
20241115_Box_2_CFC_Day_2_(Context_C)_9010,4063,4072,0.33,C,23.298
20241115_Box_2_CFC_Day_2_(Context_C)_9010,4103,4115,0.43,C,23.565
20241115_Box_2_CFC_Day_2_(Context_C)_9010,4221,4235,0.5,C,24.69
20241115_Box_2_CFC_Day_2_(Context_C)_9010,4237,4253,0.57,C,24.136
20241115_Box_2_CFC_Day_2_(Context_C)_9010,4759,4796,1.27,C,24.204
20241115_Box_2_CFC_Day_2_(Context_C)_9010,4800,4807,0.27,C,23.61
20241115_Box_2_CFC_Day_2_(Context_C)_9010,4923,4930,0.27,C,24.209
20241115_Box_2_CFC_Day_2_(Context_C)_9010,4982,4987,0.2,C,23.778
20241115_Box_2_CFC_Day_2_(Context_C)_9010,5027,5033,0.23,C,23.432
20241115_Box_2_CFC_Day_2_(Context_C)_9010,5036,5042,0.23,C,23.528
